Time,X,Y,Z
2024-11-03T01:01:52.562Z,160,148,-832
2024-11-03T01:01:52.577Z,132,112,-980
2024-11-03T01:01:52.592Z,124,84,-1152
2024-11-03T01:01:52.622Z,120,80,-1072
2024-11-03T01:01:52.638Z,124,132,-892
2024-11-03T01:01:52.652Z,144,144,-852
2024-11-03T01:01:52.682Z,164,120,-992
2024-11-03T01:01:52.697Z,148,84,-1048
2024-11-03T01:01:52.727Z,116,24,-976
2024-11-03T01:01:52.742Z,144,96,-924
2024-11-03T01:01:52.757Z,264,228,-1012
2024-11-03T01:01:52.788Z,184,76,-1064
2024-11-03T01:01:52.803Z,172,24,-896
2024-11-03T01:01:52.869Z,296,68,-648
2024-11-03T01:01:52.875Z,248,-16,-864
2024-11-03T01:01:52.879Z,92,-76,-1192
2024-11-03T01:01:52.880Z,-252,-316,-1080
2024-11-03T01:01:52.910Z,-568,-296,-1088
2024-11-03T01:01:52.922Z,-912,-528,-1624
2024-11-03T01:01:52.938Z,-672,-780,-2040
2024-11-03T01:01:52.967Z,120,-632,-2040
2024-11-03T01:01:52.982Z,428,-700,-1880
2024-11-03T01:01:52.997Z,768,-720,-1992
2024-11-03T01:01:53.027Z,1480,-556,-1900
2024-11-03T01:01:53.042Z,2040,-96,-1824
2024-11-03T01:01:53.072Z,1896,12,-1168
2024-11-03T01:01:53.088Z,2040,268,-408
2024-11-03T01:01:53.102Z,1760,128,-792
2024-11-03T01:01:53.132Z,1648,-116,-860
2024-11-03T01:01:53.147Z,1600,136,-128
2024-11-03T01:01:53.162Z,1456,-140,316
2024-11-03T01:01:53.192Z,1364,-112,-40
2024-11-03T01:01:53.207Z,1148,-276,-60
2024-11-03T01:01:53.222Z,840,-452,536
2024-11-03T01:01:53.252Z,504,-400,768
2024-11-03T01:01:53.268Z,264,-444,368
2024-11-03T01:01:53.282Z,156,-488,-300
2024-11-03T01:01:53.312Z,-100,-548,172
2024-11-03T01:01:53.327Z,-276,-568,440
2024-11-03T01:01:53.357Z,-212,-396,-376
2024-11-03T01:01:53.373Z,-676,-804,-1060
2024-11-03T01:01:53.388Z,-1076,-1444,-1248
2024-11-03T01:01:53.425Z,-1280,-1504,-1464
2024-11-03T01:01:53.432Z,-1380,-1032,-1612
2024-11-03T01:01:53.447Z,-1336,-1032,-1768
2024-11-03T01:01:53.477Z,-1300,-1112,-1928
2024-11-03T01:01:53.492Z,-960,-1272,-1864
2024-11-03T01:01:53.507Z,-484,-1252,-1900
2024-11-03T01:01:53.538Z,1300,-136,-2040
2024-11-03T01:01:53.552Z,1528,1080,-2040
2024-11-03T01:01:53.567Z,716,-552,-1940
2024-11-03T01:01:53.597Z,1108,-12,-772
2024-11-03T01:01:53.612Z,1344,892,-1040
2024-11-03T01:01:53.642Z,920,352,-1508
2024-11-03T01:01:53.657Z,704,352,-764
2024-11-03T01:01:53.672Z,556,216,-564
2024-11-03T01:01:53.702Z,488,300,-804
2024-11-03T01:01:53.718Z,348,184,-768
2024-11-03T01:01:53.732Z,276,88,-756
2024-11-03T01:01:53.762Z,204,36,-904
2024-11-03T01:01:53.777Z,200,-72,-1068
2024-11-03T01:01:53.793Z,84,-172,-1096
2024-11-03T01:01:53.831Z,100,-116,-1160
2024-11-03T01:01:53.839Z,52,-96,-1140
2024-11-03T01:01:53.857Z,120,-32,-1144
2024-11-03T01:01:53.882Z,140,12,-1108
2024-11-03T01:01:53.897Z,176,48,-1116
2024-11-03T01:01:53.912Z,148,28,-1080
2024-11-03T01:01:53.942Z,148,-4,-1068
2024-11-03T01:01:53.961Z,88,-20,-1064
2024-11-03T01:01:53.988Z,60,-52,-1072
2024-11-03T01:01:54.002Z,100,-104,-1032
2024-11-03T01:01:54.018Z,128,-4,-984
2024-11-03T01:01:54.047Z,168,-20,-1068
2024-11-03T01:01:54.062Z,180,4,-1044
