Time,X,Y,Z
2024-11-03T21:30:21.379Z,80,280,-976
2024-11-03T21:30:21.393Z,56,268,-980
2024-11-03T21:30:21.408Z,40,248,-984
2024-11-03T21:30:21.437Z,52,248,-960
2024-11-03T21:30:21.452Z,64,264,-940
2024-11-03T21:30:21.467Z,76,248,-936
2024-11-03T21:30:21.497Z,48,260,-936
2024-11-03T21:30:21.512Z,36,256,-912
2024-11-03T21:30:21.527Z,108,248,-888
2024-11-03T21:30:21.557Z,156,276,-824
2024-11-03T21:30:21.573Z,228,300,-716
2024-11-03T21:30:21.588Z,444,340,-700
2024-11-03T21:30:21.617Z,716,356,-768
2024-11-03T21:30:21.689Z,988,180,-1036
2024-11-03T21:30:21.689Z,1128,92,-1384
2024-11-03T21:30:21.694Z,744,92,-1748
2024-11-03T21:30:21.698Z,272,-44,-1900
2024-11-03T21:30:21.722Z,12,-52,-1792
2024-11-03T21:30:21.737Z,-328,-64,-1788
2024-11-03T21:30:21.752Z,-776,-92,-1932
2024-11-03T21:30:21.782Z,-1400,-132,-1868
2024-11-03T21:30:21.797Z,-1716,-164,-1808
2024-11-03T21:30:21.812Z,-1660,-156,-1212
2024-11-03T21:30:21.842Z,-1472,-172,-1040
2024-11-03T21:30:21.869Z,-1260,-240,-1000
2024-11-03T21:30:21.874Z,-1216,-232,-904
2024-11-03T21:30:21.902Z,-1180,-356,-432
2024-11-03T21:30:21.917Z,-936,-424,128
2024-11-03T21:30:21.932Z,-432,-332,132
2024-11-03T21:30:21.962Z,-4,-340,4
2024-11-03T21:30:21.981Z,236,-276,140
2024-11-03T21:30:22.012Z,316,-156,200
2024-11-03T21:30:22.033Z,364,-116,136
2024-11-03T21:30:22.038Z,528,-96,32
2024-11-03T21:30:22.074Z,616,-136,28
2024-11-03T21:30:22.083Z,884,-280,-192
2024-11-03T21:30:22.096Z,1376,-244,-856
2024-11-03T21:30:22.126Z,1416,-252,-1160
2024-11-03T21:30:22.141Z,1184,-272,-1232
2024-11-03T21:30:22.161Z,1232,-164,-1448
2024-11-03T21:30:22.186Z,1316,-124,-1560
2024-11-03T21:30:22.202Z,1004,-100,-1740
2024-11-03T21:30:22.217Z,1032,328,-1256
2024-11-03T21:30:22.246Z,96,256,-1972
2024-11-03T21:30:22.261Z,-64,96,-1724
2024-11-03T21:30:22.276Z,-372,100,-1576
2024-11-03T21:30:22.315Z,-752,128,-1484
2024-11-03T21:30:22.326Z,-596,152,-1324
2024-11-03T21:30:22.351Z,-404,144,-1144
2024-11-03T21:30:22.366Z,-376,128,-1044
2024-11-03T21:30:22.392Z,-392,80,-1032
2024-11-03T21:30:22.413Z,-332,60,-1028
2024-11-03T21:30:22.430Z,-240,56,-1056
2024-11-03T21:30:22.446Z,-164,32,-960
2024-11-03T21:30:22.471Z,-84,8,-1004
2024-11-03T21:30:22.490Z,12,8,-1012
2024-11-03T21:30:22.502Z,56,8,-1032
2024-11-03T21:30:22.533Z,108,4,-1012
2024-11-03T21:30:22.550Z,64,40,-1032
2024-11-03T21:30:22.562Z,40,36,-1048
2024-11-03T21:30:22.591Z,52,56,-1056
2024-11-03T21:30:22.608Z,24,44,-1024
2024-11-03T21:30:22.636Z,16,72,-1008
2024-11-03T21:30:22.654Z,56,68,-1012
2024-11-03T21:30:22.666Z,72,72,-1000
2024-11-03T21:30:22.696Z,36,72,-1000
2024-11-03T21:30:22.711Z,56,76,-980
2024-11-03T21:30:22.726Z,56,72,-1004
2024-11-03T21:30:22.757Z,48,52,-1028
2024-11-03T21:30:22.772Z,28,40,-1052
2024-11-03T21:30:22.786Z,8,20,-1076
2024-11-03T21:30:22.816Z,28,0,-1060
2024-11-03T21:30:22.831Z,48,4,-1068
