Time,X,Y,Z
2024-11-12T18:47:18.673Z,0,460,-932
2024-11-12T18:47:18.688Z,16,472,-920
2024-11-12T18:47:18.704Z,36,460,-892
2024-11-12T18:47:18.733Z,16,464,-888
2024-11-12T18:47:18.748Z,-16,464,-944
2024-11-12T18:47:18.763Z,4,468,-932
2024-11-12T18:47:18.793Z,36,472,-928
2024-11-12T18:47:18.808Z,48,472,-888
2024-11-12T18:47:18.838Z,12,484,-756
2024-11-12T18:47:18.853Z,-184,504,-332
2024-11-12T18:47:18.872Z,-396,548,244
2024-11-12T18:47:18.898Z,-524,460,516
2024-11-12T18:47:18.913Z,-64,204,224
2024-11-12T18:47:18.928Z,0,-128,-592
2024-11-12T18:47:18.958Z,-20,-980,-1576
2024-11-12T18:47:18.973Z,-304,-184,-1900
2024-11-12T18:47:18.988Z,76,-200,-1952
2024-11-12T18:47:19.018Z,156,-184,-1704
2024-11-12T18:47:19.033Z,-12,-252,-1600
2024-11-12T18:47:19.048Z,-40,-264,-1584
2024-11-12T18:47:19.078Z,196,-188,-1136
2024-11-12T18:47:19.093Z,212,-92,-776
2024-11-12T18:47:19.123Z,176,-84,-624
2024-11-12T18:47:19.138Z,20,-128,-812
2024-11-12T18:47:19.153Z,-116,-184,-1068
2024-11-12T18:47:19.183Z,-152,-180,-1088
2024-11-12T18:47:19.199Z,-164,-176,-1072
2024-11-12T18:47:19.213Z,-208,-192,-1168
2024-11-12T18:47:19.243Z,-224,-208,-1236
2024-11-12T18:47:19.258Z,-204,-248,-1180
2024-11-12T18:47:19.273Z,-316,-284,-1120
2024-11-12T18:47:19.303Z,-172,-208,-1072
2024-11-12T18:47:19.319Z,-148,-220,-1024
2024-11-12T18:47:19.333Z,-172,-196,-952
2024-11-12T18:47:19.363Z,-136,-188,-984
2024-11-12T18:47:19.383Z,-148,-192,-968
2024-11-12T18:47:19.393Z,-148,-200,-1020
2024-11-12T18:47:19.423Z,-144,-216,-1036
2024-11-12T18:47:19.439Z,-184,-200,-1000
2024-11-12T18:47:19.471Z,-108,-208,-1068
2024-11-12T18:47:19.483Z,-152,-208,-984
2024-11-12T18:47:19.498Z,-192,-180,-936
2024-11-12T18:47:19.528Z,-120,-176,-1064
2024-11-12T18:47:19.543Z,-172,-184,-984
2024-11-12T18:47:19.560Z,-124,-188,-1020
2024-11-12T18:47:19.588Z,-164,-196,-976
2024-11-12T18:47:19.603Z,-176,-184,-996
2024-11-12T18:47:19.618Z,-144,-180,-1052
2024-11-12T18:47:19.648Z,-152,-188,-1008
2024-11-12T18:47:19.663Z,-176,-172,-980
2024-11-12T18:47:19.678Z,-172,-172,-980
2024-11-12T18:47:19.708Z,-152,-180,-996
2024-11-12T18:47:19.723Z,-144,-192,-1020
2024-11-12T18:47:19.753Z,-144,-200,-1020
2024-11-12T18:47:19.768Z,-148,-188,-1060
2024-11-12T18:47:19.783Z,-164,-188,-1044
2024-11-12T18:47:19.813Z,-200,-196,-1096
2024-11-12T18:47:19.828Z,-212,-188,-1132
2024-11-12T18:47:19.843Z,-192,-192,-1124
