Time,X,Y,Z
2024-11-12T18:44:24.166Z,116,300,-984
2024-11-12T18:44:24.181Z,116,300,-968
2024-11-12T18:44:24.211Z,128,308,-1020
2024-11-12T18:44:24.226Z,112,304,-1012
2024-11-12T18:44:24.242Z,100,288,-996
2024-11-12T18:44:24.271Z,112,304,-988
2024-11-12T18:44:24.287Z,104,316,-972
2024-11-12T18:44:24.316Z,120,320,-1008
2024-11-12T18:44:24.331Z,88,300,-1000
2024-11-12T18:44:24.346Z,64,276,-988
2024-11-12T18:44:24.376Z,88,284,-964
2024-11-12T18:44:24.392Z,108,312,-964
2024-11-12T18:44:24.453Z,112,308,-996
2024-11-12T18:44:24.478Z,96,296,-1016
2024-11-12T18:44:24.479Z,96,296,-1004
2024-11-12T18:44:24.479Z,92,300,-980
2024-11-12T18:44:24.496Z,116,308,-1000
2024-11-12T18:44:24.513Z,120,300,-1008
2024-11-12T18:44:24.526Z,120,316,-1000
2024-11-12T18:44:24.556Z,104,308,-972
2024-11-12T18:44:24.571Z,88,296,-996
2024-11-12T18:44:24.601Z,100,284,-1020
2024-11-12T18:44:24.616Z,136,312,-1024
2024-11-12T18:44:24.631Z,140,304,-964
2024-11-12T18:44:24.661Z,192,292,-956
2024-11-12T18:44:24.676Z,284,288,-952
2024-11-12T18:44:24.691Z,432,348,-704
2024-11-12T18:44:24.721Z,556,380,-648
2024-11-12T18:44:24.736Z,764,428,-896
2024-11-12T18:44:24.752Z,1004,512,-1092
2024-11-12T18:44:24.782Z,1044,528,-1092
2024-11-12T18:44:24.796Z,944,460,-976
2024-11-12T18:44:24.811Z,648,208,-896
2024-11-12T18:44:24.841Z,372,56,-824
2024-11-12T18:44:24.856Z,108,-120,-780
2024-11-12T18:44:24.871Z,28,-104,-1156
2024-11-12T18:44:24.902Z,-176,-244,-1164
2024-11-12T18:44:24.916Z,-448,-264,-1148
2024-11-12T18:44:24.961Z,-812,-364,-1448
2024-11-12T18:44:24.962Z,-828,-356,-1432
2024-11-12T18:44:24.976Z,-636,-240,-1264
2024-11-12T18:44:25.006Z,-584,-236,-1200
2024-11-12T18:44:25.024Z,-392,-132,-1168
2024-11-12T18:44:25.036Z,-40,92,-1028
2024-11-12T18:44:25.066Z,168,244,-940
2024-11-12T18:44:25.081Z,244,256,-912
2024-11-12T18:44:25.096Z,320,268,-960
2024-11-12T18:44:25.126Z,392,312,-1036
2024-11-12T18:44:25.141Z,436,352,-1064
2024-11-12T18:44:25.157Z,364,324,-1068
2024-11-12T18:44:25.186Z,276,292,-1060
2024-11-12T18:44:25.206Z,152,208,-1028
2024-11-12T18:44:25.231Z,80,160,-1012
2024-11-12T18:44:25.246Z,48,144,-1004
2024-11-12T18:44:25.261Z,32,152,-1008
2024-11-12T18:44:25.291Z,52,164,-1000
2024-11-12T18:44:25.306Z,56,164,-976
2024-11-12T18:44:25.321Z,124,204,-980
2024-11-12T18:44:25.351Z,172,220,-1000
2024-11-12T18:44:25.366Z,204,236,-1044
2024-11-12T18:44:25.381Z,224,232,-1044
2024-11-12T18:44:25.411Z,252,256,-1052
2024-11-12T18:44:25.426Z,232,252,-1008
2024-11-12T18:44:25.441Z,200,248,-1000
2024-11-12T18:44:25.471Z,172,224,-992
2024-11-12T18:44:25.487Z,160,212,-984
2024-11-12T18:44:25.502Z,164,232,-996
2024-11-12T18:44:25.535Z,136,216,-984
2024-11-12T18:44:25.546Z,104,192,-1028
2024-11-12T18:44:25.576Z,92,180,-1000
2024-11-12T18:44:25.591Z,128,220,-1004
