Time,X,Y,Z
2024-11-12T18:41:39.844Z,104,276,-1068
2024-11-12T18:41:39.859Z,68,236,-1012
2024-11-12T18:41:39.874Z,96,248,-1028
2024-11-12T18:41:39.905Z,-8,260,-980
2024-11-12T18:41:39.936Z,-76,288,-984
2024-11-12T18:41:39.950Z,-220,304,-976
2024-11-12T18:41:39.965Z,-380,316,-1092
2024-11-12T18:41:39.980Z,-496,368,-1120
2024-11-12T18:41:40.010Z,-596,236,-936
2024-11-12T18:41:40.025Z,-1032,188,-1000
2024-11-12T18:41:40.039Z,-1380,-12,-980
2024-11-12T18:41:40.069Z,-1308,-72,-1020
2024-11-12T18:41:40.129Z,-992,-168,-1120
2024-11-12T18:41:40.129Z,-800,-384,-908
2024-11-12T18:41:40.135Z,-904,-712,-1024
2024-11-12T18:41:40.144Z,468,-904,-912
2024-11-12T18:41:40.159Z,1520,-392,-1060
2024-11-12T18:41:40.189Z,1976,-504,-872
2024-11-12T18:41:40.204Z,1912,-280,-788
2024-11-12T18:41:40.219Z,1536,-204,-880
2024-11-12T18:41:40.249Z,1108,-100,-968
2024-11-12T18:41:40.264Z,716,8,-1028
2024-11-12T18:41:40.294Z,432,52,-1032
2024-11-12T18:41:40.310Z,480,92,-948
2024-11-12T18:41:40.325Z,492,60,-968
2024-11-12T18:41:40.355Z,544,68,-1064
2024-11-12T18:41:40.369Z,292,88,-1096
2024-11-12T18:41:40.386Z,124,136,-1124
2024-11-12T18:41:40.415Z,188,208,-1052
2024-11-12T18:41:40.430Z,-76,192,-1000
2024-11-12T18:41:40.456Z,-32,212,-988
2024-11-12T18:41:40.475Z,172,240,-984
2024-11-12T18:41:40.490Z,-36,172,-988
2024-11-12T18:41:40.505Z,176,208,-932
2024-11-12T18:41:40.536Z,208,188,-908
2024-11-12T18:41:40.549Z,80,148,-988
2024-11-12T18:41:40.580Z,272,184,-1040
2024-11-12T18:41:40.595Z,188,148,-1056
2024-11-12T18:41:40.609Z,120,172,-1060
2024-11-12T18:41:40.640Z,288,188,-1064
2024-11-12T18:41:40.655Z,260,160,-1036
2024-11-12T18:41:40.672Z,100,160,-1004
2024-11-12T18:41:40.703Z,204,196,-1008
2024-11-12T18:41:40.719Z,136,176,-1020
2024-11-12T18:41:40.729Z,132,204,-1000
2024-11-12T18:41:40.774Z,184,204,-988
2024-11-12T18:41:40.775Z,152,184,-992
2024-11-12T18:41:40.797Z,144,188,-1024
2024-11-12T18:41:40.821Z,136,192,-1020
2024-11-12T18:41:40.838Z,160,192,-996
2024-11-12T18:41:40.851Z,156,184,-1000
2024-11-12T18:41:40.879Z,160,196,-1012
2024-11-12T18:41:40.894Z,128,180,-1024
2024-11-12T18:41:40.925Z,176,192,-1024
2024-11-12T18:41:40.940Z,164,196,-1020
2024-11-12T18:41:40.974Z,184,192,-1012
2024-11-12T18:41:40.985Z,152,192,-996
2024-11-12T18:41:40.999Z,176,188,-1008
2024-11-12T18:41:41.014Z,100,172,-1024
2024-11-12T18:41:41.045Z,116,184,-1048
2024-11-12T18:41:41.061Z,132,208,-1044
2024-11-12T18:41:41.074Z,136,192,-988
2024-11-12T18:41:41.104Z,184,196,-984
2024-11-12T18:41:41.120Z,164,184,-1020
2024-11-12T18:41:41.136Z,108,180,-1004
2024-11-12T18:41:41.165Z,176,184,-1044
2024-11-12T18:41:41.179Z,232,160,-1008
2024-11-12T18:41:41.210Z,272,136,-996
2024-11-12T18:41:41.227Z,260,132,-1024
