Time,X,Y,Z
2024-11-03T21:31:32.386Z,632,180,-868
2024-11-03T21:31:32.400Z,1384,208,-456
2024-11-03T21:31:32.431Z,1752,-132,-676
2024-11-03T21:31:32.445Z,1732,24,-260
2024-11-03T21:31:32.461Z,972,-232,-412
2024-11-03T21:31:32.491Z,164,292,-1304
2024-11-03T21:31:32.506Z,-1340,764,-1512
2024-11-03T21:31:32.521Z,-2040,1428,-1568
2024-11-03T21:31:32.551Z,-1864,956,-1120
2024-11-03T21:31:32.566Z,-824,512,-660
2024-11-03T21:31:32.595Z,456,-56,-1068
2024-11-03T21:31:32.611Z,1992,-528,-1164
2024-11-03T21:31:32.641Z,2040,-748,-404
2024-11-03T21:31:32.656Z,2040,-728,-336
2024-11-03T21:31:32.687Z,1436,-524,-576
2024-11-03T21:31:32.701Z,332,152,-804
2024-11-03T21:31:32.715Z,-1352,920,-1448
2024-11-03T21:31:32.732Z,-2040,1064,-1420
2024-11-03T21:31:32.760Z,-1936,1116,-1128
2024-11-03T21:31:32.776Z,-1072,848,-596
2024-11-03T21:31:32.791Z,-108,68,-752
2024-11-03T21:31:32.821Z,1532,-516,-1304
2024-11-03T21:31:32.836Z,2040,-736,-800
2024-11-03T21:31:32.851Z,2040,-664,-648
2024-11-03T21:31:32.881Z,1448,-600,-672
2024-11-03T21:31:32.896Z,232,212,-812
2024-11-03T21:31:32.911Z,-1532,972,-1284
2024-11-03T21:31:32.940Z,-2040,1308,-1128
2024-11-03T21:31:32.956Z,-1296,1000,-564
2024-11-03T21:31:32.971Z,-200,248,-648
2024-11-03T21:31:33.001Z,1384,-352,-1440
2024-11-03T21:31:33.015Z,2040,-612,-840
2024-11-03T21:31:33.031Z,1956,-588,-744
2024-11-03T21:31:33.061Z,800,-180,-836
2024-11-03T21:31:33.076Z,-392,724,-968
2024-11-03T21:31:33.091Z,-1508,1004,-1144
2024-11-03T21:31:33.121Z,-1392,932,-892
2024-11-03T21:31:33.136Z,-892,880,-612
2024-11-03T21:31:33.151Z,-136,212,-660
2024-11-03T21:31:33.181Z,1560,-280,-1312
2024-11-03T21:31:33.205Z,2040,-692,-956
2024-11-03T21:31:33.226Z,1912,-556,-848
2024-11-03T21:31:33.241Z,828,-240,-944
2024-11-03T21:31:33.271Z,-344,972,-1176
2024-11-03T21:31:33.286Z,-1572,1112,-1208
2024-11-03T21:31:33.300Z,-1836,1112,-984
2024-11-03T21:31:33.316Z,-1136,936,-736
2024-11-03T21:31:33.346Z,-488,376,-440
2024-11-03T21:31:33.361Z,1280,-508,-1124
2024-11-03T21:31:33.391Z,2040,-560,-1220
2024-11-03T21:31:33.406Z,2040,-728,-704
2024-11-03T21:31:33.421Z,1108,-444,-772
2024-11-03T21:31:33.450Z,320,4,-1024
2024-11-03T21:31:33.466Z,-312,472,-1072
2024-11-03T21:31:33.481Z,-848,580,-1004
2024-11-03T21:31:33.511Z,-836,740,-992
2024-11-03T21:31:33.526Z,-604,704,-968
2024-11-03T21:31:33.541Z,-316,452,-1036
2024-11-03T21:31:33.571Z,320,244,-1276
2024-11-03T21:31:33.587Z,720,128,-1072
2024-11-03T21:31:33.602Z,704,40,-752
2024-11-03T21:31:33.630Z,728,68,-728
2024-11-03T21:31:33.649Z,600,88,-920
2024-11-03T21:31:33.662Z,500,152,-964
2024-11-03T21:31:33.691Z,336,244,-992
2024-11-03T21:31:33.725Z,168,328,-976
2024-11-03T21:31:33.725Z,36,380,-976
2024-11-03T21:31:33.750Z,96,328,-1088
2024-11-03T21:31:33.768Z,292,252,-1160
2024-11-03T21:31:33.784Z,404,204,-932
2024-11-03T21:31:33.813Z,452,156,-676
2024-11-03T21:31:33.832Z,572,168,-776
2024-11-03T21:31:33.856Z,568,148,-864
2024-11-03T21:31:33.870Z,492,176,-932
2024-11-03T21:31:33.900Z,336,292,-948
2024-11-03T21:31:33.917Z,60,392,-964
2024-11-03T21:31:33.935Z,-56,380,-1048
2024-11-03T21:31:33.960Z,192,328,-1380
2024-11-03T21:31:33.991Z,368,228,-1180
2024-11-03T21:31:33.991Z,424,160,-884
2024-11-03T21:31:34.021Z,480,140,-804
2024-11-03T21:31:34.035Z,548,144,-844
2024-11-03T21:31:34.051Z,576,128,-852
2024-11-03T21:31:34.080Z,452,152,-864
2024-11-03T21:31:34.096Z,288,196,-876
2024-11-03T21:31:34.111Z,224,264,-952
2024-11-03T21:31:34.141Z,176,264,-1072
2024-11-03T21:31:34.156Z,220,272,-1036
2024-11-03T21:31:34.171Z,268,248,-992
2024-11-03T21:31:34.203Z,272,208,-924
2024-11-03T21:31:34.215Z,332,188,-908
2024-11-03T21:31:34.240Z,372,168,-920
2024-11-03T21:31:34.261Z,396,168,-968
2024-11-03T21:31:34.276Z,344,144,-1020
2024-11-03T21:31:34.290Z,352,148,-1016
2024-11-03T21:31:34.321Z,352,136,-1004
