Time,X,Y,Z
2024-11-03T21:27:23.015Z,-4,168,-1000
2024-11-03T21:27:23.045Z,-16,196,-980
2024-11-03T21:27:23.060Z,0,112,-1040
2024-11-03T21:27:23.075Z,60,164,-1104
2024-11-03T21:27:23.105Z,64,144,-1080
2024-11-03T21:27:23.120Z,60,172,-1068
2024-11-03T21:27:23.136Z,64,192,-1040
2024-11-03T21:27:23.165Z,76,212,-1044
2024-11-03T21:27:23.180Z,52,168,-1012
2024-11-03T21:27:23.210Z,64,148,-1020
2024-11-03T21:27:23.225Z,64,156,-1008
2024-11-03T21:27:23.240Z,96,152,-1032
2024-11-03T21:27:23.271Z,104,168,-1040
2024-11-03T21:27:23.340Z,72,168,-988
2024-11-03T21:27:23.340Z,84,176,-1032
2024-11-03T21:27:23.345Z,68,176,-1020
2024-11-03T21:27:23.349Z,92,172,-1032
2024-11-03T21:27:23.360Z,76,140,-1020
2024-11-03T21:27:23.390Z,84,160,-1032
2024-11-03T21:27:23.406Z,72,152,-1020
2024-11-03T21:27:23.420Z,84,168,-1044
2024-11-03T21:27:23.450Z,76,148,-996
2024-11-03T21:27:23.465Z,80,156,-1008
2024-11-03T21:27:23.480Z,96,180,-1032
2024-11-03T21:27:23.510Z,108,188,-1040
2024-11-03T21:27:23.525Z,100,156,-996
2024-11-03T21:27:23.556Z,112,176,-984
2024-11-03T21:27:23.570Z,120,204,-976
2024-11-03T21:27:23.585Z,100,152,-1040
2024-11-03T21:27:23.615Z,72,84,-932
2024-11-03T21:27:23.630Z,64,128,-940
2024-11-03T21:27:23.645Z,40,188,-1176
2024-11-03T21:27:23.675Z,-72,236,-1268
2024-11-03T21:27:23.690Z,4,348,-1824
2024-11-03T21:27:23.707Z,72,428,-2040
2024-11-03T21:27:23.735Z,20,80,-2040
2024-11-03T21:27:23.750Z,4,-244,-2040
2024-11-03T21:27:23.765Z,-36,-520,-2040
2024-11-03T21:27:23.795Z,-4,-596,-2040
2024-11-03T21:27:23.810Z,156,-440,-1524
2024-11-03T21:27:23.840Z,184,-356,-760
2024-11-03T21:27:23.855Z,176,-136,-480
2024-11-03T21:27:23.874Z,176,-68,-372
2024-11-03T21:27:23.900Z,0,-92,-176
2024-11-03T21:27:23.915Z,-60,-132,120
2024-11-03T21:27:23.930Z,-44,0,228
2024-11-03T21:27:23.960Z,-16,168,336
2024-11-03T21:27:23.975Z,-8,352,260
2024-11-03T21:27:23.990Z,-48,392,204
2024-11-03T21:27:24.020Z,-76,460,128
2024-11-03T21:27:24.036Z,-56,572,64
2024-11-03T21:27:24.050Z,-24,644,-60
2024-11-03T21:27:24.084Z,-8,688,-236
2024-11-03T21:27:24.097Z,-36,716,-392
2024-11-03T21:27:24.110Z,16,812,-544
2024-11-03T21:27:24.140Z,-64,712,-612
2024-11-03T21:27:24.157Z,-76,760,-688
2024-11-03T21:27:24.190Z,-84,752,-712
2024-11-03T21:27:24.202Z,-80,768,-800
2024-11-03T21:27:24.218Z,-120,732,-880
2024-11-03T21:27:24.245Z,-156,676,-868
2024-11-03T21:27:24.260Z,-156,728,-824
2024-11-03T21:27:24.284Z,-204,672,-816
2024-11-03T21:27:24.305Z,-184,704,-832
2024-11-03T21:27:24.326Z,-152,752,-816
2024-11-03T21:27:24.342Z,-132,784,-788
2024-11-03T21:27:24.365Z,-128,792,-776
2024-11-03T21:27:24.380Z,-152,740,-772
2024-11-03T21:27:24.395Z,-140,748,-792
2024-11-03T21:27:24.427Z,-100,764,-812
2024-11-03T21:27:24.440Z,-64,784,-784
2024-11-03T21:27:24.471Z,-72,764,-768
2024-11-03T21:27:24.485Z,-112,696,-716
2024-11-03T21:27:24.500Z,-88,708,-744
